epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1184.33,1.23024,1.04411,1.08527,1,0.99543,0.995,0.85771,1.1555,0.47636,1.05708,0.000553863,0.000553863,0.000553863
2,2379.03,1.18283,0.62228,1.06586,1,0.99562,0.995,0.85711,1.16762,0.49137,1.06225,0.00108756,0.00108756,0.00108756
3,3563.07,1.18987,0.62779,1.07014,1,0.99638,0.995,0.85575,1.17123,0.51074,1.06925,0.00159925,0.00159925,0.00159925
4,4751.85,1.18584,0.61924,1.06607,1,0.99543,0.995,0.85595,1.1672,0.49525,1.07002,0.00156798,0.00156798,0.00156798
5,5930.59,1.17584,0.61184,1.05962,1,0.99562,0.995,0.84671,1.24245,0.51779,1.09228,0.00153497,0.00153497,0.00153497
6,7108.53,1.1719,0.59971,1.05872,1,0.99429,0.995,0.85947,1.14665,0.47705,1.05734,0.00150197,0.00150197,0.00150197
7,8289.05,1.16512,0.59501,1.06066,1,0.996,0.995,0.85616,1.17378,0.49032,1.06686,0.00146896,0.00146896,0.00146896
8,9468.27,1.17883,0.60279,1.05988,1,0.99695,0.995,0.85821,1.15313,0.49207,1.05769,0.00143595,0.00143595,0.00143595
9,10646,1.15464,0.58723,1.05366,1,0.99486,0.995,0.85906,1.14465,0.47068,1.05838,0.00140295,0.00140295,0.00140295
10,11822.2,1.16044,0.57898,1.05111,1,0.99581,0.995,0.85935,1.14343,0.47174,1.05556,0.00136994,0.00136994,0.00136994
11,13160.4,1.15496,0.57794,1.05899,1,0.99486,0.995,0.85821,1.15241,0.47408,1.05694,0.00133693,0.00133693,0.00133693
